"","News_2016.publishedAt","News_2016.title"
"143","2016-08-09T21:48:23.000Z","No Carjacking Involvement For Man Killed By LA County Deputy"
"144","2016-09-30T19:30:14.000Z","Mother of Alfred Olango, Who Was Shot & Killed, Speaks Out"
"145","2016-07-19T16:55:10.000Z","St. Louis Police Officers Get No Charges For 2015 Killing"
"146","2016-06-16T12:37:51.000Z","Oprah Winfrey says, 'Enough' to Gun Violence"
"147","2016-06-13T16:29:21.000Z","Shooter's dad Calls Massacre 'Act of Terror'"
"148","2016-10-18T16:52:45.000Z","""Tower"" Depicts Modern America's First Mass Shooting"
"149","2016-09-28T20:04:16.000Z","Cops Shoot Black Man Near San Diego"
"150","2016-10-26T19:52:33.000Z","Police Identify Virginia Man Killed in Workplace Shooting"
"151","2016-09-25T19:46:51.000Z","Authorities Hunt For Clues In Washington Mall Shooting"
"152","2016-07-07T17:05:25.000Z","Louisiana Governor To Attend Vigil for Sterling"
"153","2016-09-27T00:42:41.000Z","Mall Shooter Diagnosed With Anxiety and Depression"
"154","2016-06-07T22:57:55.000Z","Federal Trial Set for Charleston Church Shooter"
"155","2016-09-26T20:38:43.000Z","Mall Shooting Suspect Charged with Murder"
"156","2016-11-07T17:03:50.000Z","LAX Airport Gunman Defiant In Face Of Sentencing"
"157","2016-06-15T14:37:33.000Z","Officials Disclose Why Entering Orlando Nightclub Was Delayed"
"158","2016-09-16T02:29:32.000Z","Biy With BB Gun Shot & Killed By Police"
"159","2016-09-12T20:33:58.000Z","Orlando Shooter's Mosque Is Set Ablaze"
"160","2016-10-02T14:20:06.000Z","A March In Memory of Alfred Olango Took Place In El Cajon"
"161","2016-07-01T20:27:22.000Z","FBI Sued by Charleston Shooting Victims"
"162","2016-09-24T02:34:35.000Z","1 Bank Robbery Suspect Dead, 1 Injured In Shooting"
"163","2016-12-14T22:00:39.000Z","Federal Prosecution Rests in Charleston Church Shooter Case"
"164","2016-05-04T17:12:24.000Z","Fired Employee Kills One, Then Himself"
"165","2016-04-20T00:00:24.000Z","NYPD Stairwell Shooter Evades Prison Time"
"166","2016-07-21T14:51:29.000Z","Caretaker Shot by Police as He Lies on Ground"
"167","2016-06-01T20:54:46.000Z","Cop Indicted For Shooting Legally Armed Black Man In Florida"
"168","2016-06-15T18:53:42.000Z","Obama to Meet Families and First Responders of Orlando Tragedy"
"169","2016-06-15T12:49:00.000Z","Investigators Looking Into All Leads In Orlando Shooting"
"170","2016-05-26T20:19:13.000Z","NYPD Looking for Suspect in Concert Shooting"
"171","2016-06-12T22:07:31.000Z","Worst Mass Shooting in US History Claims At Least 50 Lives"
"172","2016-06-02T03:54:47.000Z","Ex-Police Officer Arrested For Manslaughter In Florida"
"173","2016-07-05T15:53:23.000Z","Broadway's 'Fun Home' To Perform For Victims In Orlando"
"174","2016-07-25T18:52:58.000Z","2 Dead and 17 More Injured in a Nightclub Shooting in Fort Myers, Florida"
"175","2016-07-25T15:13:40.000Z","Shooting At Teenage Party Leaves 2 Dead"
"176","2016-06-16T14:08:30.000Z","Orlando Shooter Posted Anti-Western Rants on Facebook Before, During Attacks"
"177","2016-06-15T16:36:25.000Z","Orlando Police And FBI Hold News Conference"
"178","2016-02-27T23:05:05.000Z","Victims of Washington Shooter ID'd by Coroner"
"179","2016-10-01T01:37:50.000Z","Video Of Police Shooting Of Lamont Scott Will Be Released"
"180","2016-06-21T20:42:08.000Z","Orlando LBGT Community Tries To Return To Normal Life After Shooting"
"181","2016-12-12T21:51:19.000Z","Orlando Mourns Pulse Nightclub Victims Six Months Later"
"182","2016-09-29T18:16:07.000Z","Alfred Olango Pulled E-Cigarette on Police in El Cajon"
"183","2016-07-03T20:53:45.000Z","Paramedics Should Be Equipped For Any Situation"
"184","2016-05-26T15:31:33.000Z","NYC Concert Shooting Leaves One Person Dead"
"185","2016-09-02T16:01:07.000Z","LAX Gunman Dodges Death Penalty"
"186","2016-06-20T17:55:13.000Z","Orlando Shooter said he was Islamic soldier"
"187","2016-01-09T12:00:02.000Z","How to get Perfect Slow Motion in Adobe Premiere"
"188","2016-12-28T03:44:12.000Z","Gangland UK  Birmingham Burger Bar Boys And The Jhonson Crew"
"189","2016-06-25T17:14:16.000Z","Group Was Trespassing During Dance Party Shooting"
"190","2016-07-07T22:02:37.000Z","The Latest On The Minnesota Shooting"
"191","2016-07-31T18:07:31.000Z","3 Dead In Shooting Near Seattle"
"192","2016-09-15T22:07:29.000Z","Ohio Police Fatal Shoot Boy Responding to Armed Robbery"
"193","2016-07-07T20:25:52.000Z","Videos Of Gruesome Police Shootings Surface"
"194","2016-07-25T20:30:29.000Z","Florida Teen Party Ends With Deadly Shooting"
"195","2016-06-17T18:57:45.000Z","Woman Claims Orlando Gunman Stalked Her"
"196","2016-06-20T22:33:21.000Z","Orlando Shooter Said He Was An Islamic Soldier"
"197","2016-07-25T18:59:11.000Z","2 Killed In Shooting At Florida Teen Nightclub Party"
"198","2016-06-26T17:01:48.000Z","Deadly Shootings On Hwy 4 Prompts Lawmaker To Push Feds For Surveillance Cameras"
