"","X.1","X","all_comments.authorDisplayName","all_comments.likeCount","all_comments.textOriginal","all_comments.publishedAt"
"773",773,773,"The Citizen",0,"That white little fuck thinks he is funny being an Islamophobe _ÌâåªÌâåÉÌÄå_

Shut up and die, you white school shooter","4/21/18"
"774",774,774,"C2CJ Director",0,"I don't find any of his social media incriminating, if you notice how CNN keeps moving the content of his social media in and out, in and out to where you can't read it. I paused it and went full screen and didn't see anything about him killing anyone honestly. It was just gun talk with other people that liked weapons. he even had a knife that he had custom made the handle part. This is probably why he wasn't on the FBI radar because THERE WAS NOTHING THERE CNN!! FAKE NEWS!!! show us the real unedited social media post that he made about killing kids at a school!!","4/21/18"
"775",775,775,"Seize",0,"I donÌâå_ÌâåÑÌÄåöt give a fuck if an entire fucking school was shot out, itÌâå_ÌâåÑÌÄåös the right to bear arms to own a fucking gun, and the marches to get rid of guns are fucking awful. To stop school shootings, why not get a damn better protective school, or actually give guns to responsible people. You canÌâå_ÌâåÑÌÄåöt get rid fucking guns, sorry bitches. I hate school shootings, but the cunts who pull of these stupid ass marches to get rid of guns are on fucking crack.","4/21/18"
"776",776,776,"Rex Truegood",0,"academy award time","4/20/18"
"777",777,777,"Steve Nicholson",0,"Kids blaming and shaming adults,.....because kids are  killing themselves in hideous murder / suicides,.....never asking WHY.     That is a perfect example of  the Liberal  ""Everybody is the victim"" mentality that is failing to deal with real problems while teaching no accountability.  I guess, no matter what you do,..you can always blame it on an inanimate object or the popular chosen ""enemy""..","4/20/18"
"778",778,778,"Ethen Jones",0,"handguns have higher caliber bullets + they're easier to conceal and more mobile. They make it seem like our current gun laws make no sense, and that's true, but I stand by the age restriction for handguns being older than assault rifles.","4/20/18"
"779",779,779,"Donald Sauve",0,"Fake as sandy hoax...nobody died there period.","4/19/18"
"780",780,780,"Guitar",0,"10 likes and I will shoot up my school...","4/19/18"
"781",781,781,"Dark Shade",0,"Has he been executed yet? The ATFs should also look into everything he has learned like... what the fuck?

As I'm watching this, ""one common denominator"" it almost starts to seem like someone is behind this. Someone with power trying to curb laws and regulations, ""lesson learned"" to speed up processing in which schools have to be pushed harder and faster to act in making schools safer. Like a conspiracy or something... JUST FUCKING MAKE SCHOOLS SAFER!

Also, he was RIGHT THERE! One of 219 people could have stopped him! The world is sleeping man... smh... people need to wake up to prevent something like this from happening again.

Change the purchase laws!.. Jesus...

Maybe the school shooters are assets of someone with higher power which investigator haven't found their true motives... assets to do the dirty work to motivated schools to act... 

Either way its all bullshit! The 17 who died didn't deserve such a horrible fate even those whom died in the past school shooting. No student or teacher deserve such evil.","4/19/18"
"782",782,782,"Klevis Pali",1,"Rip to all of them","4/19/18"
"783",783,783,"DBZ Boy",0,"Damn, he couldnÌâå_ÌâåÑÌÄåöt even make it to round 3!











Nah IÌâå_ÌâåÑÌÄåöm jp.","4/19/18"
