"","comments_real","comments_2012","comments_2013","comments_2014","comments_2015","comments_2016","comments_2017"
"booth",2,0,0,0,1,0,0
"border",1,1,3,0,0,1,1
"bored",1,0,0,0,0,1,4
"borges",1,0,0,0,0,0,0
"boring",1,0,1,1,1,4,9
"bork",1,0,0,0,0,0,0
"born",2,4,15,7,3,7,6
"borrow",1,0,1,1,0,0,0
"bot",2,0,0,0,0,2,0
"both",1,0,6,0,2,0,3
"bother",1,0,9,2,1,3,3
"bought",2,1,12,8,6,1,3
"bout",4,0,1,4,1,5,13
"bowl",1,0,1,2,2,0,0
"box",1,0,7,3,2,8,10
"boy",11,2,9,6,8,37,25
"boyfriends",1,0,0,0,0,1,0
"boys",3,0,4,2,0,17,27
"boyy",1,0,0,0,0,0,0
"bra",1,0,1,0,0,0,0
"bragged",1,0,1,1,0,1,0
"brain",5,1,20,7,5,9,6
"braindead",1,0,1,0,1,0,0
"brainless",1,2,0,0,0,1,1
"brains",1,0,5,8,4,4,6
"brainwashed",3,1,4,3,1,1,1
"brainwashednni",1,0,0,0,0,0,0
"brainwashing",1,1,0,0,0,1,1
"brando",1,0,0,0,0,0,0
"brandon",2,0,0,1,0,0,0
"brave",4,0,1,0,1,2,7
"braver",1,0,0,0,0,1,0
"bravery",2,0,0,0,0,5,1
"braverynn",1,0,0,0,0,0,0
"bravo",2,0,1,0,0,1,3
"braydenlesavage",1,0,0,0,0,0,0
"break",5,1,8,7,22,62,71
"breakfast",1,1,1,0,0,1,1
"breaking",3,0,5,2,6,15,17
"breakingi",1,0,0,0,0,0,0
"breaks",1,0,1,10,1,17,12
"breathing",2,0,1,2,1,3,3
"breeki",1,0,0,0,0,0,0
"breekinso",1,0,0,0,0,0,0
"breivik",1,0,8,2,0,0,0
"brenda",1,0,0,2,0,0,0
"brennan",3,0,0,0,0,1,0
"bribe",1,0,1,0,0,0,0
"briefed",1,0,0,0,0,0,0
"brilliant",9,0,3,2,0,3,2
"bring",11,1,21,16,20,33,51
"bringing",3,1,4,1,1,2,13
"brings",2,0,4,2,0,5,6
"bro",6,2,14,5,3,54,27
"broadcasting",1,0,0,2,0,0,0
"broadsword",1,0,0,0,0,0,0
"broke",1,0,3,4,5,17,29
"broken",1,3,5,2,7,14,8
